sampleID	isIncluded	subjectID	measurementID	perturbID	exptblock	intv	intv2
sample293	1	2	93.0	0	1	-1	-1
sample294	1	2	94.0	0	1	-1	-1
sample295	1	2	95.0	0	1	-1	-1
sample296	1	2	96.0	0	1	-1	-1
sample297	1	2	97.0	0	1	-1	-1
sample298	1	2	98.0	0	1	-1	-1
sample299	1	2	99.0	0	1	-1	-1
sample300	1	3	0.0	0	1	-1	-1
sample301	1	3	1.0	0	1	-1	-1
sample302	1	3	2.0	0	1	-1	-1
sample303	1	3	3.0	0	1	-1	-1
sample304	1	3	4.0	0	1	-1	-1
sample305	1	3	5.0	0	1	-1	-1
sample306	1	3	6.0	0	1	-1	-1
sample307	1	3	7.0	0	1	-1	-1
sample308	1	3	8.0	0	1	-1	-1
sample309	1	3	9.0	0	1	-1	-1
sample310	1	3	10.0	0	1	-1	-1
sample311	1	3	11.0	0	1	-1	-1
sample312	1	3	12.0	0	1	-1	-1
sample313	1	3	13.0	0	1	-1	-1
sample314	1	3	14.0	0	1	-1	-1
sample315	1	3	15.0	0	1	-1	-1
sample316	1	3	16.0	0	1	-1	-1
sample317	1	3	17.0	0	1	-1	-1
sample318	1	3	18.0	0	1	-1	-1
sample319	1	3	19.0	0	1	-1	-1
sample320	1	3	20.0	0	1	-1	-1
sample321	1	3	21.0	0	1	-1	-1
sample322	1	3	22.0	0	1	-1	-1
sample323	1	3	23.0	0	1	-1	-1
sample324	1	3	24.0	0	1	-1	-1
sample325	1	3	25.0	0	1	-1	-1
sample326	1	3	26.0	0	1	-1	-1
sample327	1	3	27.0	0	1	-1	-1
sample328	1	3	28.0	0	1	-1	-1
sample329	1	3	29.0	0	1	-1	-1
sample330	1	3	30.0	0	1	-1	-1
sample331	1	3	31.0	0	1	-1	-1
sample332	1	3	32.0	0	1	-1	-1
sample333	1	3	33.0	0	1	-1	-1
sample334	1	3	34.0	0	1	-1	-1
sample335	1	3	35.0	0	1	-1	-1
sample336	1	3	36.0	0	1	-1	-1
sample337	1	3	37.0	0	1	-1	-1
sample338	1	3	38.0	0	1	-1	-1
sample339	1	3	39.0	0	1	-1	-1
sample340	1	3	40.0	0	1	-1	-1
sample341	1	3	41.0	0	1	-1	-1
sample342	1	3	42.0	0	1	-1	-1
sample343	1	3	43.0	0	1	-1	-1
sample344	1	3	44.0	0	1	-1	-1
sample345	1	3	45.0	0	1	-1	-1
sample346	1	3	46.0	0	1	-1	-1
sample347	1	3	47.0	0	1	-1	-1
sample348	1	3	48.0	0	1	-1	-1
sample349	1	3	49.0	0	1	-1	-1
sample350	1	3	50.0	0	1	-1	-1
sample351	1	3	51.0	0	1	-1	-1
sample352	1	3	52.0	0	1	-1	-1
sample353	1	3	53.0	0	1	-1	-1
sample354	1	3	54.0	0	1	-1	-1
sample355	1	3	55.0	0	1	-1	-1
sample356	1	3	56.0	0	1	-1	-1
sample357	1	3	57.0	0	1	-1	-1
sample358	1	3	58.0	0	1	-1	-1
sample359	1	3	59.0	0	1	-1	-1
sample360	1	3	60.0	0	1	-1	-1
sample361	1	3	61.0	0	1	-1	-1
sample362	1	3	62.0	0	1	-1	-1
sample363	1	3	63.0	0	1	-1	-1
sample364	1	3	64.0	0	1	-1	-1
sample365	1	3	65.0	0	1	-1	-1
sample366	1	3	66.0	0	1	-1	-1
sample367	1	3	67.0	0	1	-1	-1
sample368	1	3	68.0	0	1	-1	-1
sample369	1	3	69.0	0	1	-1	-1
sample370	1	3	70.0	0	1	-1	-1
sample371	1	3	71.0	0	1	-1	-1
sample372	1	3	72.0	0	1	-1	-1
sample373	1	3	73.0	0	1	-1	-1
sample374	1	3	74.0	0	1	-1	-1
sample375	1	3	75.0	0	1	-1	-1
sample376	1	3	76.0	0	1	-1	-1
sample377	1	3	77.0	0	1	-1	-1
sample378	1	3	78.0	0	1	-1	-1
sample379	1	3	79.0	0	1	-1	-1
sample380	1	3	80.0	0	1	-1	-1
sample381	1	3	81.0	0	1	-1	-1
sample382	1	3	82.0	0	1	-1	-1
sample383	1	3	83.0	0	1	-1	-1
sample384	1	3	84.0	0	1	-1	-1
sample385	1	3	85.0	0	1	-1	-1
sample386	1	3	86.0	0	1	-1	-1
sample387	1	3	87.0	0	1	-1	-1
sample388	1	3	88.0	0	1	-1	-1
sample389	1	3	89.0	0	1	-1	-1
sample390	1	3	90.0	0	1	-1	-1
sample391	1	3	91.0	0	1	-1	-1
sample392	1	3	92.0	0	1	-1	-1
sample393	1	3	93.0	0	1	-1	-1
sample394	1	3	94.0	0	1	-1	-1
sample395	1	3	95.0	0	1	-1	-1
sample396	1	3	96.0	0	1	-1	-1
sample397	1	3	97.0	0	1	-1	-1
sample398	1	3	98.0	0	1	-1	-1
sample399	1	3	99.0	0	1	-1	-1
sample400	1	4	0.0	0	1	-1	-1
sample401	1	4	1.0	0	1	-1	-1
sample402	1	4	2.0	0	1	-1	-1
sample403	1	4	3.0	0	1	-1	-1
sample404	1	4	4.0	0	1	-1	-1
sample405	1	4	5.0	0	1	-1	-1
sample406	1	4	6.0	0	1	-1	-1
sample407	1	4	7.0	0	1	-1	-1
sample408	1	4	8.0	0	1	-1	-1
sample409	1	4	9.0	0	1	-1	-1
sample410	1	4	10.0	0	1	-1	-1
sample411	1	4	11.0	0	1	-1	-1
sample412	1	4	12.0	0	1	-1	-1
sample413	1	4	13.0	0	1	-1	-1
sample414	1	4	14.0	0	1	-1	-1
sample415	1	4	15.0	0	1	-1	-1
sample416	1	4	16.0	0	1	-1	-1
sample417	1	4	17.0	0	1	-1	-1
sample418	1	4	18.0	0	1	-1	-1
sample419	1	4	19.0	0	1	-1	-1
sample420	1	4	20.0	0	1	-1	-1
sample421	1	4	21.0	0	1	-1	-1
sample422	1	4	22.0	0	1	-1	-1
sample423	1	4	23.0	0	1	-1	-1
sample424	1	4	24.0	0	1	-1	-1
sample425	1	4	25.0	0	1	-1	-1
sample426	1	4	26.0	0	1	-1	-1
sample427	1	4	27.0	0	1	-1	-1
sample428	1	4	28.0	0	1	-1	-1
sample429	1	4	29.0	0	1	-1	-1
sample430	1	4	30.0	0	1	-1	-1
sample431	1	4	31.0	0	1	-1	-1
sample432	1	4	32.0	0	1	-1	-1
sample433	1	4	33.0	0	1	-1	-1
sample434	1	4	34.0	0	1	-1	-1
sample435	1	4	35.0	0	1	-1	-1
sample436	1	4	36.0	0	1	-1	-1
sample437	1	4	37.0	0	1	-1	-1
sample438	1	4	38.0	0	1	-1	-1
sample439	1	4	39.0	0	1	-1	-1
sample440	1	4	40.0	0	1	-1	-1
sample441	1	4	41.0	0	1	-1	-1
sample442	1	4	42.0	0	1	-1	-1
sample443	1	4	43.0	0	1	-1	-1
sample444	1	4	44.0	0	1	-1	-1
sample445	1	4	45.0	0	1	-1	-1
sample446	1	4	46.0	0	1	-1	-1
sample447	1	4	47.0	0	1	-1	-1
sample448	1	4	48.0	0	1	-1	-1
sample449	1	4	49.0	0	1	-1	-1
sample450	1	4	50.0	0	1	-1	-1
sample451	1	4	51.0	0	1	-1	-1
sample452	1	4	52.0	0	1	-1	-1
sample453	1	4	53.0	0	1	-1	-1
sample454	1	4	54.0	0	1	-1	-1
sample455	1	4	55.0	0	1	-1	-1
sample456	1	4	56.0	0	1	-1	-1
sample457	1	4	57.0	0	1	-1	-1
sample458	1	4	58.0	0	1	-1	-1
sample459	1	4	59.0	0	1	-1	-1
sample460	1	4	60.0	0	1	-1	-1
sample461	1	4	61.0	0	1	-1	-1
sample462	1	4	62.0	0	1	-1	-1
sample463	1	4	63.0	0	1	-1	-1
sample464	1	4	64.0	0	1	-1	-1
sample465	1	4	65.0	0	1	-1	-1
sample466	1	4	66.0	0	1	-1	-1
sample467	1	4	67.0	0	1	-1	-1
sample468	1	4	68.0	0	1	-1	-1
sample469	1	4	69.0	0	1	-1	-1
sample470	1	4	70.0	0	1	-1	-1
sample471	1	4	71.0	0	1	-1	-1
sample472	1	4	72.0	0	1	-1	-1
sample473	1	4	73.0	0	1	-1	-1
sample474	1	4	74.0	0	1	-1	-1
sample475	1	4	75.0	0	1	-1	-1
sample476	1	4	76.0	0	1	-1	-1
sample477	1	4	77.0	0	1	-1	-1
sample478	1	4	78.0	0	1	-1	-1
sample479	1	4	79.0	0	1	-1	-1
sample480	1	4	80.0	0	1	-1	-1
sample481	1	4	81.0	0	1	-1	-1
sample482	1	4	82.0	0	1	-1	-1
sample483	1	4	83.0	0	1	-1	-1
sample484	1	4	84.0	0	1	-1	-1
sample485	1	4	85.0	0	1	-1	-1
sample486	1	4	86.0	0	1	-1	-1
sample487	1	4	87.0	0	1	-1	-1
sample488	1	4	88.0	0	1	-1	-1
sample489	1	4	89.0	0	1	-1	-1
sample490	1	4	90.0	0	1	-1	-1
sample491	1	4	91.0	0	1	-1	-1
sample492	1	4	92.0	0	1	-1	-1
sample493	1	4	93.0	0	1	-1	-1
sample494	1	4	94.0	0	1	-1	-1
sample495	1	4	95.0	0	1	-1	-1
sample496	1	4	96.0	0	1	-1	-1
sample497	1	4	97.0	0	1	-1	-1
sample498	1	4	98.0	0	1	-1	-1
sample499	1	4	99.0	0	1	-1	-1
sample500	1	5	0.0	0	1	-1	-1
sample501	1	5	1.0	0	1	-1	-1
sample502	1	5	2.0	0	1	-1	-1
sample503	1	5	3.0	0	1	-1	-1
sample504	1	5	4.0	0	1	-1	-1
sample505	1	5	5.0	0	1	-1	-1
sample506	1	5	6.0	0	1	-1	-1
sample507	1	5	7.0	0	1	-1	-1
sample508	1	5	8.0	0	1	-1	-1
sample509	1	5	9.0	0	1	-1	-1
sample510	1	5	10.0	0	1	-1	-1
sample511	1	5	11.0	0	1	-1	-1
sample512	1	5	12.0	0	1	-1	-1
sample513	1	5	13.0	0	1	-1	-1
sample514	1	5	14.0	0	1	-1	-1
sample515	1	5	15.0	0	1	-1	-1
sample516	1	5	16.0	0	1	-1	-1
sample517	1	5	17.0	0	1	-1	-1
sample518	1	5	18.0	0	1	-1	-1
sample519	1	5	19.0	0	1	-1	-1
sample520	1	5	20.0	0	1	-1	-1
sample521	1	5	21.0	0	1	-1	-1
sample522	1	5	22.0	0	1	-1	-1
sample523	1	5	23.0	0	1	-1	-1
sample524	1	5	24.0	0	1	-1	-1
sample525	1	5	25.0	0	1	-1	-1
sample526	1	5	26.0	0	1	-1	-1
sample527	1	5	27.0	0	1	-1	-1
sample528	1	5	28.0	0	1	-1	-1
sample529	1	5	29.0	0	1	-1	-1
sample530	1	5	30.0	0	1	-1	-1
sample531	1	5	31.0	0	1	-1	-1
sample532	1	5	32.0	0	1	-1	-1
sample533	1	5	33.0	0	1	-1	-1
sample534	1	5	34.0	0	1	-1	-1
sample535	1	5	35.0	0	1	-1	-1
sample536	1	5	36.0	0	1	-1	-1
sample537	1	5	37.0	0	1	-1	-1
sample538	1	5	38.0	0	1	-1	-1
sample539	1	5	39.0	0	1	-1	-1
sample540	1	5	40.0	0	1	-1	-1
sample541	1	5	41.0	0	1	-1	-1
sample542	1	5	42.0	0	1	-1	-1
sample543	1	5	43.0	0	1	-1	-1
sample544	1	5	44.0	0	1	-1	-1
sample545	1	5	45.0	0	1	-1	-1
sample546	1	5	46.0	0	1	-1	-1
sample547	1	5	47.0	0	1	-1	-1
sample548	1	5	48.0	0	1	-1	-1
sample549	1	5	49.0	0	1	-1	-1
sample550	1	5	50.0	0	1	-1	-1
sample551	1	5	51.0	0	1	-1	-1
sample552	1	5	52.0	0	1	-1	-1
sample553	1	5	53.0	0	1	-1	-1
sample554	1	5	54.0	0	1	-1	-1
sample555	1	5	55.0	0	1	-1	-1
sample556	1	5	56.0	0	1	-1	-1
sample557	1	5	57.0	0	1	-1	-1
sample558	1	5	58.0	0	1	-1	-1
sample559	1	5	59.0	0	1	-1	-1
sample560	1	5	60.0	0	1	-1	-1
sample561	1	5	61.0	0	1	-1	-1
sample562	1	5	62.0	0	1	-1	-1
sample563	1	5	63.0	0	1	-1	-1
sample564	1	5	64.0	0	1	-1	-1
sample565	1	5	65.0	0	1	-1	-1
sample566	1	5	66.0	0	1	-1	-1
sample567	1	5	67.0	0	1	-1	-1
sample568	1	5	68.0	0	1	-1	-1
sample569	1	5	69.0	0	1	-1	-1
sample570	1	5	70.0	0	1	-1	-1
sample571	1	5	71.0	0	1	-1	-1
sample572	1	5	72.0	0	1	-1	-1
sample573	1	5	73.0	0	1	-1	-1
sample574	1	5	74.0	0	1	-1	-1
sample575	1	5	75.0	0	1	-1	-1
sample576	1	5	76.0	0	1	-1	-1
sample577	1	5	77.0	0	1	-1	-1
sample578	1	5	78.0	0	1	-1	-1
sample579	1	5	79.0	0	1	-1	-1
sample580	1	5	80.0	0	1	-1	-1
sample581	1	5	81.0	0	1	-1	-1
sample582	1	5	82.0	0	1	-1	-1
sample583	1	5	83.0	0	1	-1	-1
sample584	1	5	84.0	0	1	-1	-1
sample585	1	5	85.0	0	1	-1	-1
sample586	1	5	86.0	0	1	-1	-1
sample587	1	5	87.0	0	1	-1	-1
sample588	1	5	88.0	0	1	-1	-1
sample589	1	5	89.0	0	1	-1	-1
sample590	1	5	90.0	0	1	-1	-1
sample591	1	5	91.0	0	1	-1	-1
sample592	1	5	92.0	0	1	-1	-1
sample593	1	5	93.0	0	1	-1	-1
sample594	1	5	94.0	0	1	-1	-1
sample595	1	5	95.0	0	1	-1	-1
sample596	1	5	96.0	0	1	-1	-1
sample597	1	5	97.0	0	1	-1	-1
sample598	1	5	98.0	0	1	-1	-1
sample599	1	5	99.0	0	1	-1	-1
sample600	1	6	0.0	0	1	-1	-1
sample601	1	6	1.0	0	1	-1	-1
sample602	1	6	2.0	0	1	-1	-1
sample603	1	6	3.0	0	1	-1	-1
sample604	1	6	4.0	0	1	-1	-1
sample605	1	6	5.0	0	1	-1	-1
sample606	1	6	6.0	0	1	-1	-1
sample607	1	6	7.0	0	1	-1	-1
sample608	1	6	8.0	0	1	-1	-1
sample609	1	6	9.0	0	1	-1	-1
sample610	1	6	10.0	0	1	-1	-1
sample611	1	6	11.0	0	1	-1	-1
sample612	1	6	12.0	0	1	-1	-1
sample613	1	6	13.0	0	1	-1	-1
sample614	1	6	14.0	0	1	-1	-1
sample615	1	6	15.0	0	1	-1	-1
sample616	1	6	16.0	0	1	-1	-1
sample617	1	6	17.0	0	1	-1	-1
sample618	1	6	18.0	0	1	-1	-1
sample619	1	6	19.0	0	1	-1	-1
sample620	1	6	20.0	0	1	-1	-1
sample621	1	6	21.0	0	1	-1	-1
sample622	1	6	22.0	0	1	-1	-1
sample623	1	6	23.0	0	1	-1	-1
sample624	1	6	24.0	0	1	-1	-1
sample625	1	6	25.0	0	1	-1	-1
sample626	1	6	26.0	0	1	-1	-1
sample627	1	6	27.0	0	1	-1	-1
sample628	1	6	28.0	0	1	-1	-1
sample629	1	6	29.0	0	1	-1	-1
sample630	1	6	30.0	0	1	-1	-1
sample631	1	6	31.0	0	1	-1	-1
