sampleID	subjectID	timepoint
sample138	1	38.0
sample139	1	39.0
sample140	1	40.0
sample141	1	41.0
sample142	1	42.0
sample143	1	43.0
sample144	1	44.0
sample145	1	45.0
sample146	1	46.0
sample147	1	47.0
sample148	1	48.0
sample149	1	49.0
sample150	1	50.0
sample151	1	51.0
sample152	1	52.0
sample153	1	53.0
sample154	1	54.0
sample155	1	55.0
sample156	1	56.0
sample157	1	57.0
sample158	1	58.0
sample159	1	59.0
sample160	1	60.0
sample161	1	61.0
sample162	1	62.0
sample163	1	63.0
sample164	1	64.0
sample165	1	65.0
sample166	1	66.0
sample167	1	67.0
sample168	1	68.0
sample169	1	69.0
sample170	1	70.0
sample171	1	71.0
sample172	1	72.0
sample173	1	73.0
sample174	1	74.0
sample175	1	75.0
sample176	1	76.0
sample177	1	77.0
sample178	1	78.0
sample179	1	79.0
sample180	1	80.0
sample181	1	81.0
sample182	1	82.0
sample183	1	83.0
sample184	1	84.0
sample185	1	85.0
sample186	1	86.0
sample187	1	87.0
sample188	1	88.0
sample189	1	89.0
sample190	1	90.0
sample191	1	91.0
sample192	1	92.0
sample193	1	93.0
sample194	1	94.0
sample195	1	95.0
sample196	1	96.0
sample197	1	97.0
sample198	1	98.0
sample199	1	99.0
sample200	2	0.0
sample201	2	1.0
sample202	2	2.0
sample203	2	3.0
sample204	2	4.0
sample205	2	5.0
sample206	2	6.0
sample207	2	7.0
sample208	2	8.0
sample209	2	9.0
sample210	2	10.0
sample211	2	11.0
sample212	2	12.0
sample213	2	13.0
sample214	2	14.0
sample215	2	15.0
sample216	2	16.0
sample217	2	17.0
sample218	2	18.0
sample219	2	19.0
sample220	2	20.0
sample221	2	21.0
sample222	2	22.0
sample223	2	23.0
sample224	2	24.0
sample225	2	25.0
sample226	2	26.0
sample227	2	27.0
sample228	2	28.0
sample229	2	29.0
sample230	2	30.0
sample231	2	31.0
sample232	2	32.0
sample233	2	33.0
sample234	2	34.0
sample235	2	35.0
sample236	2	36.0
sample237	2	37.0
sample238	2	38.0
sample239	2	39.0
sample240	2	40.0
sample241	2	41.0
sample242	2	42.0
sample243	2	43.0
sample244	2	44.0
sample245	2	45.0
sample246	2	46.0
sample247	2	47.0
sample248	2	48.0
sample249	2	49.0
sample250	2	50.0
sample251	2	51.0
sample252	2	52.0
sample253	2	53.0
sample254	2	54.0
sample255	2	55.0
sample256	2	56.0
sample257	2	57.0
sample258	2	58.0
sample259	2	59.0
sample260	2	60.0
sample261	2	61.0
sample262	2	62.0
sample263	2	63.0
sample264	2	64.0
sample265	2	65.0
sample266	2	66.0
sample267	2	67.0
sample268	2	68.0
sample269	2	69.0
sample270	2	70.0
sample271	2	71.0
sample272	2	72.0
sample273	2	73.0
sample274	2	74.0
sample275	2	75.0
sample276	2	76.0
sample277	2	77.0
sample278	2	78.0
sample279	2	79.0
sample280	2	80.0
sample281	2	81.0
sample282	2	82.0
sample283	2	83.0
sample284	2	84.0
sample285	2	85.0
sample286	2	86.0
sample287	2	87.0
sample288	2	88.0
sample289	2	89.0
sample290	2	90.0
sample291	2	91.0
sample292	2	92.0
sample293	2	93.0
sample294	2	94.0
sample295	2	95.0
sample296	2	96.0
sample297	2	97.0
sample298	2	98.0
sample299	2	99.0
sample300	3	0.0
sample301	3	1.0
sample302	3	2.0
sample303	3	3.0
sample304	3	4.0
sample305	3	5.0
sample306	3	6.0
sample307	3	7.0
sample308	3	8.0
sample309	3	9.0
sample310	3	10.0
sample311	3	11.0
sample312	3	12.0
sample313	3	13.0
sample314	3	14.0
sample315	3	15.0
sample316	3	16.0
sample317	3	17.0
sample318	3	18.0
sample319	3	19.0
sample320	3	20.0
sample321	3	21.0
sample322	3	22.0
sample323	3	23.0
sample324	3	24.0
sample325	3	25.0
sample326	3	26.0
sample327	3	27.0
sample328	3	28.0
sample329	3	29.0
sample330	3	30.0
sample331	3	31.0
sample332	3	32.0
sample333	3	33.0
sample334	3	34.0
sample335	3	35.0
sample336	3	36.0
sample337	3	37.0
sample338	3	38.0
sample339	3	39.0
sample340	3	40.0
sample341	3	41.0
sample342	3	42.0
sample343	3	43.0
sample344	3	44.0
sample345	3	45.0
sample346	3	46.0
sample347	3	47.0
sample348	3	48.0
sample349	3	49.0
sample350	3	50.0
sample351	3	51.0
sample352	3	52.0
sample353	3	53.0
sample354	3	54.0
sample355	3	55.0
sample356	3	56.0
sample357	3	57.0
sample358	3	58.0
sample359	3	59.0
sample360	3	60.0
sample361	3	61.0
sample362	3	62.0
sample363	3	63.0
sample364	3	64.0
sample365	3	65.0
sample366	3	66.0
sample367	3	67.0
sample368	3	68.0
sample369	3	69.0
sample370	3	70.0
sample371	3	71.0
sample372	3	72.0
sample373	3	73.0
sample374	3	74.0
sample375	3	75.0
sample376	3	76.0
sample377	3	77.0
sample378	3	78.0
sample379	3	79.0
sample380	3	80.0
sample381	3	81.0
sample382	3	82.0
sample383	3	83.0
sample384	3	84.0
sample385	3	85.0
sample386	3	86.0
sample387	3	87.0
sample388	3	88.0
sample389	3	89.0
sample390	3	90.0
sample391	3	91.0
sample392	3	92.0
sample393	3	93.0
sample394	3	94.0
sample395	3	95.0
sample396	3	96.0
sample397	3	97.0
sample398	3	98.0
sample399	3	99.0
sample400	4	0.0
sample401	4	1.0
sample402	4	2.0
sample403	4	3.0
sample404	4	4.0
sample405	4	5.0
sample406	4	6.0
sample407	4	7.0
sample408	4	8.0
sample409	4	9.0
sample410	4	10.0
sample411	4	11.0
sample412	4	12.0
sample413	4	13.0
sample414	4	14.0
sample415	4	15.0
sample416	4	16.0
sample417	4	17.0
sample418	4	18.0
sample419	4	19.0
sample420	4	20.0
sample421	4	21.0
sample422	4	22.0
sample423	4	23.0
sample424	4	24.0
sample425	4	25.0
sample426	4	26.0
sample427	4	27.0
sample428	4	28.0
sample429	4	29.0
sample430	4	30.0
sample431	4	31.0
sample432	4	32.0
sample433	4	33.0
sample434	4	34.0
sample435	4	35.0
sample436	4	36.0
sample437	4	37.0
sample438	4	38.0
sample439	4	39.0
sample440	4	40.0
sample441	4	41.0
sample442	4	42.0
sample443	4	43.0
sample444	4	44.0
sample445	4	45.0
sample446	4	46.0
sample447	4	47.0
sample448	4	48.0
sample449	4	49.0
sample450	4	50.0
sample451	4	51.0
sample452	4	52.0
sample453	4	53.0
sample454	4	54.0
sample455	4	55.0
sample456	4	56.0
sample457	4	57.0
sample458	4	58.0
sample459	4	59.0
sample460	4	60.0
sample461	4	61.0
sample462	4	62.0
sample463	4	63.0
sample464	4	64.0
sample465	4	65.0
sample466	4	66.0
sample467	4	67.0
sample468	4	68.0
sample469	4	69.0
sample470	4	70.0
sample471	4	71.0
sample472	4	72.0
sample473	4	73.0
sample474	4	74.0
sample475	4	75.0
sample476	4	76.0
sample477	4	77.0
sample478	4	78.0
sample479	4	79.0
sample480	4	80.0
sample481	4	81.0
sample482	4	82.0
sample483	4	83.0
sample484	4	84.0
sample485	4	85.0
sample486	4	86.0
sample487	4	87.0
sample488	4	88.0
sample489	4	89.0
sample490	4	90.0
sample491	4	91.0
sample492	4	92.0
sample493	4	93.0
sample494	4	94.0
sample495	4	95.0
sample496	4	96.0
sample497	4	97.0
sample498	4	98.0
sample499	4	99.0
sample500	5	0.0
sample501	5	1.0
sample502	5	2.0
sample503	5	3.0
sample504	5	4.0
sample505	5	5.0
sample506	5	6.0
sample507	5	7.0
sample508	5	8.0
sample509	5	9.0
sample510	5	10.0
sample511	5	11.0
sample512	5	12.0
sample513	5	13.0
sample514	5	14.0
sample515	5	15.0
sample516	5	16.0
sample517	5	17.0
sample518	5	18.0
sample519	5	19.0
sample520	5	20.0
sample521	5	21.0
sample522	5	22.0
sample523	5	23.0
sample524	5	24.0
sample525	5	25.0
sample526	5	26.0
sample527	5	27.0
sample528	5	28.0
sample529	5	29.0
sample530	5	30.0
sample531	5	31.0
sample532	5	32.0
sample533	5	33.0
sample534	5	34.0
sample535	5	35.0
sample536	5	36.0
sample537	5	37.0
sample538	5	38.0
sample539	5	39.0
sample540	5	40.0
sample541	5	41.0
sample542	5	42.0
sample543	5	43.0
sample544	5	44.0
sample545	5	45.0
sample546	5	46.0
sample547	5	47.0
sample548	5	48.0
sample549	5	49.0
sample550	5	50.0
sample551	5	51.0
sample552	5	52.0
sample553	5	53.0
sample554	5	54.0
sample555	5	55.0
sample556	5	56.0
sample557	5	57.0
sample558	5	58.0
sample559	5	59.0
sample560	5	60.0
sample561	5	61.0
sample562	5	62.0
sample563	5	63.0
sample564	5	64.0
sample565	5	65.0
sample566	5	66.0
sample567	5	67.0
sample568	5	68.0
sample569	5	69.0
sample570	5	70.0
sample571	5	71.0
sample572	5	72.0
sample573	5	73.0
sample574	5	74.0
sample575	5	75.0
sample576	5	76.0
sample577	5	77.0
sample578	5	78.0
sample579	5	79.0
sample580	5	80.0
sample581	5	81.0
sample582	5	82.0
sample583	5	83.0
sample584	5	84.0
sample585	5	85.0
sample586	5	86.0
sample587	5	87.0
sample588	5	88.0
sample589	5	89.0
sample590	5	90.0
sample591	5	91.0
sample592	5	92.0
sample593	5	93.0
sample594	5	94.0
sample595	5	95.0
sample596	5	96.0
sample597	5	97.0
sample598	5	98.0
sample599	5	99.0
sample600	6	0.0
sample601	6	1.0
sample602	6	2.0
sample603	6	3.0
sample604	6	4.0
sample605	6	5.0
sample606	6	6.0
sample607	6	7.0
sample608	6	8.0
sample609	6	9.0
sample610	6	10.0
sample611	6	11.0
sample612	6	12.0
sample613	6	13.0
sample614	6	14.0
sample615	6	15.0
sample616	6	16.0
sample617	6	17.0
sample618	6	18.0
sample619	6	19.0
sample620	6	20.0
sample621	6	21.0
sample622	6	22.0
sample623	6	23.0
sample624	6	24.0
sample625	6	25.0
sample626	6	26.0
sample627	6	27.0
sample628	6	28.0
sample629	6	29.0
sample630	6	30.0
sample631	6	31.0
sample632	6	32.0
sample633	6	33.0
sample634	6	34.0
sample635	6	35.0
sample636	6	36.0
sample637	6	37.0
sample638	6	38.0
sample639	6	39.0
sample640	6	40.0
sample641	6	41.0
sample642	6	42.0
sample643	6	43.0
sample644	6	44.0
sample645	6	45.0
sample646	6	46.0
sample647	6	47.0
sample648	6	48.0
sample649	6	49.0
sample650	6	50.0
sample651	6	51.0
sample652	6	52.0
sample653	6	53.0
sample654	6	54.0
sample655	6	55.0
sample656	6	56.0
sample657	6	57.0
sample658	6	58.0
sample659	6	59.0
sample660	6	60.0
sample661	6	61.0
sample662	6	62.0
sample663	6	63.0
sample664	6	64.0
sample665	6	65.0
sample666	6	66.0
sample667	6	67.0
sample668	6	68.0
sample669	6	69.0
sample670	6	70.0
sample671	6	71.0
sample672	6	72.0
sample673	6	73.0
sample674	6	74.0
sample675	6	75.0
sample676	6	76.0
sample677	6	77.0
sample678	6	78.0
sample679	6	79.0
sample680	6	80.0
sample681	6	81.0
sample682	6	82.0
sample683	6	83.0
sample684	6	84.0
sample685	6	85.0
sample686	6	86.0
sample687	6	87.0
sample688	6	88.0
sample689	6	89.0
sample690	6	90.0
sample691	6	91.0
sample692	6	92.0
sample693	6	93.0
sample694	6	94.0
sample695	6	95.0
sample696	6	96.0
sample697	6	97.0
sample698	6	98.0
sample699	6	99.0
